StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q113,Q2,Q5,Q6,Q1,Q26,Q62,Q63,Q64,Q65,Q24_1,Q66,Q67,Q68,Q69,Q70,Q71,Q189,Q191,Q195_First Click,Q195_Last Click,Q195_Page Submit,Q195_Click Count,Q193,Q195_First Click,Q195_Last Click,Q195_Page Submit,Q195_Click Count,Q287,Q482,Q483,Q484,Q149,Q150,Q151,Q152,Q153,Q154,Q155,Q197_First Click,Q197_Last Click,Q197_Page Submit,Q197_Click Count,Q156,Q157,Q158,Q159,Q160,Q161,Q162,Q163,Q164,Q165,Q198_First Click,Q198_Last Click,Q198_Page Submit,Q198_Click Count,Q166,Q167,Q168,Q169,Q170,Q171,Q172,Q173,Q174,Q175,Q199_First Click,Q199_Last Click,Q199_Page Submit,Q199_Click Count,Q176,Q177,Q178,Q179,Q180,Q181,Q182,Q183,Q184,Q185,Q200_First Click,Q200_Last Click,Q200_Page Submit,Q200_Click Count,Q206_1,Q17_Browser,Q17_Version,Q17_Operating System,Q17_Resolution,type
12/8/17 10:46,12/8/17 10:51,Survey Preview,,100,294,TRUE,12/8/17 10:51,na,,,,,na,na,preview,EN,9,Male,Both,BA/BS (16 years),68,Caucasian/White,Yes,2,Excellent,Little,54,,no,Yes,1 year ago,No,Yes,,,,,,,,,,,,35,speak,allow,forgive,sofa,recall,fall,dreadful,hearty,obvious,pretender,1.535,26.858,28.89,10,deserve,enchant,signify,uninformed,strengthen,fame,tell,large,laughter,soiled,2.131,25.844,28.014,10,waste,heading,help,humorous,inform,lament,inhabitant,dispossess,charm,rigid,3.547,36.758,38.155,10,notched,supple,mitigate,appropriate,hole,complaining,outcast,placate,timidity,sound,1.973,50.141,52.926,10,42,Firefox,na,Windows NT 6.1,1680x1050,Vocabulary_Test
12/8/17 10:51,12/8/17 10:58,Survey Preview,,100,449,TRUE,12/8/17 10:58,na,,,,,na,na,preview,EN,10,Female,Right,some college (12 - 16 years),55,Asian or Pacific Islander,No,,Good,Not at all,30,,,Yes,2 years ago,No,Yes,15,Medium confidence,91.129,98.576,120.012,2,tulip drum flute coffee dentist lily pliers tuba juice lemonade soda tea bells trumpet doctor canyon ,1.027,81.947,102.032,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,Chrome,na,Windows NT 10.0,1536x864,Memory_Test
12/8/17 10:57,12/8/17 11:04,Survey Preview,,100,435,TRUE,12/8/17 11:04,na,,,,,na,na,preview,EN,11,Male,Left,BA/BS (16 years),60,Caucasian/White,No,,Good,Not at all,61,,No,Yes,2 years,No,Yes,10,Low confidence,7.022,112.434,120.006,54,"trumpet, tuba, lily, rose, pliers, bolt, professor, lemonade, glacier, ",1.294,100.552,101.727,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,Firefox,na,Windows NT 10.0,1920x1080,Memory_Test
12/8/17 11:02,12/8/17 11:08,Survey Preview,,100,358,TRUE,12/8/17 11:08,na,,,,,na,na,preview,EN,12,Female,Right,some college (12 - 16 years),59,Caucasian/White,No,,Good,Not at all,24,,,Yes,1 yr,No,Yes,,,,,,,,,,,,38,speak,allow,forgive,sofa,recall,fall,dreadful,hearty,obvious,pretender,2.48,52,62.621,10,deserve,enchant,signify,uninformed,strengthen,fame,tell,large,laughter,stolen,4.756,30.807,34.559,10,waste,heading,help,humorous,inform,lament,inhabitant,dispossess,charm,rigid,2.883,45.503,46.051,11,notched,supple,mitigate,appropriate,hole,complaining,priest,ensue,desire,first,2.941,46.695,51.056,11,52,Edge,na,Windows NT 10.0,1344x840,Vocabulary_Test
12/8/17 11:01,12/8/17 11:10,Survey Preview,,100,531,TRUE,12/8/17 11:10,na,,,,,na,na,preview,EN,13,Male,Right,BA/BS (16 years),74,Caucasian/White,Yes,8 years,Excellent,Not at all,25,,no,No,never,No,Yes,,,,,,,,,,,,35,speak,allow,forgive,sofa,recall,fall,dreadful,hearty,obvious,pretender,2.387,56.466,65.601,11,deserve,enchant,signify,uninformed,strengthen,fame,tell,large,laughter,soiled,5.588,47.085,51.559,10,waste,heading,help,humorous,inform,lament,inhabitant,dispossess,charm,rigid,3.934,53.385,56.288,10,notched,supple,mitigate,appropriate,hole,complaining,outcast,incite,rashness,sound,3.7,80.41,83.908,12,21,Firefox,na,Windows NT 6.1,1366x768,Vocabulary_Test
12/8/17 11:03,12/8/17 11:15,Survey Preview,,100,722,TRUE,12/8/17 11:15,na,,,,,na,na,preview,EN,14,Male,Right,some college (12 - 16 years),62,Black,No,,Good,Little,49,,No,Yes,2-Jul-17,No,Yes,15,Medium confidence,0,0,120.007,0," Lily,  coffee,  professor,  mountain,  tulip, tea,   dentist,  lawyer,  drum,  soda,  hammer,  juice,  bolts,  desert,  canyon,  bells, lemonade",9.858,59.904,278.17,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,Chrome,na,Windows NT 10.0,1600x900,Memory_Test
12/8/17 11:35,12/8/17 11:44,Survey Preview,,100,497,TRUE,12/8/17 11:44,na,,,,,na,na,preview,EN,15,Male,Right,BA/BS (16 years),61,Hispanic,No,,Excellent,Not at all,46,Other,no,Yes,18 months ago,No,Yes,,,,,,,,,,,,40,speak,allow,forgive,sofa,recall,fall,dreadful,hearty,obvious,pretender,1.83,21.623,27.966,10,deserve,enchant,signify,uninformed,strengthen,fame,tell,large,laughter,soiled,1.436,28.404,30.521,10,waste,heading,help,humorous,inform,lament,inhabitant,dispossess,charm,rigid,3.164,34.852,37.749,10,notched,supple,mitigate,appropriate,hole,curious,outcast,placate,timidity,sound,2.702,41.203,44.332,10,49,Chrome,na,Windows NT 10.0,1920x1080,Vocabulary_Test
12/8/17 11:45,12/8/17 11:50,Survey Preview,,100,307,TRUE,12/8/17 11:50,na,,,,,na,na,preview,EN,16,Male,Right,some college (12 - 16 years),59,Caucasian/White,No,,Good,Not at all,37,Other,no,Yes,1 year,No,Yes,,,,,,,,,,,,40,speak,allow,forgive,sofa,recall,fall,dreadful,hearty,obvious,pretender,1.99,28.268,33.449,10,deserve,enchant,signify,uninformed,strengthen,fame,tell,large,laughter,soiled,3.03,35.19,37.552,11,waste,heading,help,humorous,inform,lament,inhabitant,dispossess,charm,rigid,2.445,35.411,38.358,10,notched,loose,mitigate,appropriate,hole,complaining,outcast,placate,rashness,sound,2.211,37.112,39.455,10,48,Firefox,na,Windows NT 6.0,1536x864,Vocabulary_Test
12/8/17 11:43,12/8/17 11:52,Survey Preview,,100,593,TRUE,12/8/17 11:52,na,,,,,na,na,preview,EN,17,Female,Right,HS diploma/GED (12 years),60,Caucasian/White,No,,Good,Not at all,53,,,Yes,6 months,No,Yes,15,Medium confidence,0,0,120.009,0,"lily, drum, soda, hammer, rose, coffee, tea, nail, dentist, bells, bolts, tuba. ocean, juice, flute, trumpet",5.958,5.958,204.02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,Chrome,na,Windows NT 10.0,1366x768,Memory_Test
12/8/17 11:44,12/8/17 11:54,Survey Preview,,100,564,TRUE,12/8/17 11:54,na,,,,,na,na,preview,EN,18,Male,Left,BA/BS (16 years),65,Caucasian/White,Yes,5 years,OK,Little,56,Heart disease,No.,Yes,6 years,No,Yes,10,Medium confidence,15.195,113.686,120.007,5,"rose, tulip, magnolia, lawyer,professor, dentist , doctor, hammer, tea, juice, mountain, soda, dessert, coffee",8.017,154.785,160.903,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,Chrome,na,Windows NT 10.0,1024x768,Memory_Test
12/8/17 11:46,12/8/17 11:54,Survey Preview,,100,455,TRUE,12/8/17 11:54,na,,,,,na,na,preview,EN,19,Female,Right,some college (12 - 16 years),59,Caucasian/White,No,,Excellent,Not at all,41,,,Yes,2016,No,Yes,,,,,,,,,,,,25,speak,allow,forgive,sofa,recall,fall,dreadful,leafy,obvious,pretender,2.853,71.144,77.445,11,deserve,enchant,signify,uninformed,strengthen,fame,tell,large,laughter,soiled,2.412,31.913,35.249,10,waste,heading,help,paltry,inform,lament,inhabitant,dispossess,charm,rigid,4.225,55.375,58.294,14,notched,supple,mitigate,appropriate,hole,complaining,outcast,ensue,rashness,first,2.276,59.643,62.479,11,31,Firefox,na,Windows NT 10.0,1366x768,Vocabulary_Test
12/8/17 11:59,12/8/17 12:05,Survey Preview,,100,347,TRUE,12/8/17 12:05,na,,,,,na,na,preview,EN,20,Female,Right,HS diploma/GED (12 years),56,Caucasian/White,No,N/A,Good,Not at all,60,,N/A,No,1 year ago,No,Yes,,,,,,,,,,,,30,speak,allow,forgive,sofa,recall,fall,dreadful,hearty,obvious,pretender,4.117,33.815,38.716,20,deserve,enchant,signify,uninformed,strengthen,fame,tell,large,laughter,soiled,2.674,34.038,35.128,20,waste,heading,help,humorous,inform,lament,inhabitant,dispossess,charm,involatile,1.94,45.769,47.036,20,notched,convex,mitigate,revoke,hole,curious,outcast,placate,rashness,sound,4.101,57.623,58.533,21,62,Chrome,na,Windows NT 6.1,1366x768,Vocabulary_Test
12/8/17 12:18,12/8/17 12:24,Survey Preview,,100,375,TRUE,12/8/17 12:24,na,,,,,na,na,preview,EN,21,Female,Right,some college (12 - 16 years),55,Caucasian/White,No,,Good,Some,81,"Anxiety,Depression",no,No,5 months ago,No,Yes,15,High confidence,29.53,95.625,120.007,251,kind,41.314,41.314,51.413,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,Chrome,na,Windows NT 10.0,1280x720,Memory_Test
12/8/17 12:17,12/8/17 12:24,Survey Preview,,100,471,TRUE,12/8/17 12:24,na,,,,,na,na,preview,EN,22,Female,Right,some college (12 - 16 years),55,Caucasian/White,No,,Fair,Some,78,,No,Yes,Do not recall,No,Yes,,,,,,,,,,,,39,speak,allow,forgive,sofa,recall,fall,dreadful,hearty,obvious,pretender,2.51,52.429,59.165,10,deserve,enchant,signify,uninformed,strengthen,fame,tell,large,laughter,soiled,3.239,35.963,42.306,10,waste,heading,help,humorous,inform,lament,inhabitant,dispossess,charm,rigid,2.629,38.987,43.712,10,notched,supple,mitigate,appropriate,hole,curious,outcast,incite,timidity,sound,2.178,44.155,47.326,10,67,Chrome,na,Windows NT 6.1,1536x864,Vocabulary_Test
12/8/17 12:27,12/8/17 12:36,Survey Preview,,100,538,TRUE,12/8/17 12:36,na,,,,,na,na,preview,EN,23,Male,Right,BA/BS (16 years),66,Caucasian/White,No,,Excellent,Not at all,53,,,Yes,12 years,No,Yes,,,,,,,,,,,,40,speak,allow,forgive,sofa,recall,fall,dreadful,hearty,obvious,pretender,4.145,54.32,58.411,14,deserve,enchant,signify,uninformed,strengthen,fame,tell,large,laughter,soiled,3.247,35.797,39.124,10,waste,heading,help,humorous,inform,lament,inhabitant,dispossess,charm,involatile,4.145,41.968,47.223,10,notched,supple,mitigate,appropriate,hole,curious,outcast,placate,rashness,level,3.624,101.333,104.564,11,66,Firefox,na,Windows NT 5.1,1024x768,Vocabulary_Test
12/8/17 12:36,12/8/17 12:46,Survey Preview,,100,572,TRUE,12/8/17 12:46,na,,,,,na,na,preview,EN,24,Female,Right,HS diploma/GED (12 years),57,Hispanic,No,,Fair,Little,47,Other,yes from brain surgery,No,6 months ago,No,Yes,5,High confidence,0,0,120.008,0,"doctor, dentist, lawyer, tuba, flute, bells, wrench, daffodil, lily, dish, hammer, ",3.43,45.663,118.128,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,Chrome,na,Windows NT 6.3,1366x768,Memory_Test
12/8/17 12:45,12/8/17 12:50,Survey Preview,,100,270,TRUE,12/8/17 12:50,na,,,,,na,na,preview,EN,25,Male,Right,BA/BS (16 years),59,Caucasian/White,No,,Poor,A lot,79,Other,No.,Yes,3 years ago.,No,Yes,,,,,,,,,,,,39,speak,allow,forgive,sofa,recall,fall,dreadful,hearty,obvious,pretender,0,0,23.589,0,deserve,enchant,signify,uninformed,strengthen,fame,tell,large,laughter,soiled,0,0,22.9,0,waste,heading,help,humorous,inform,lament,inhabitant,dispossess,charm,rigid,0,0,24.478,0,notched,supple,mitigate,appropriate,hole,complaining,outcast,placate,rashness,first,0,0,35.697,0,82,Chrome,na,Windows NT 6.1,1366x768,Vocabulary_Test
12/8/17 12:52,12/8/17 12:59,Survey Preview,,100,394,TRUE,12/8/17 12:59,na,,,,,na,na,preview,EN,26,Female,Right,some college (12 - 16 years),66,Caucasian/White,No,,OK,Some,81,High-blood pressure,,Yes,on year ago,No,Yes,10,Medium confidence,10.67,119.841,120.007,49,0,1.976,1.976,6.077,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,Chrome,na,Windows NT 10.0,1366x768,Memory_Test
12/8/17 12:59,12/8/17 13:06,Survey Preview,,100,398,TRUE,12/8/17 13:06,na,,,,,na,na,preview,EN,27,Male,Right,HS diploma/GED (12 years),62,Caucasian/White,Yes,1,Good,Little,59,,no,Yes,6 months,No,Yes,,,,,,,,,,,,30,speak,allow,forgive,sofa,recall,fall,dreadful,hearty,obvious,pretender,2.669,31.542,42.487,10,deserve,enchant,signify,uninformed,strengthen,fame,tell,large,laughter,soiled,5.914,38.37,43.405,10,waste,heading,help,fervid,inform,lament,atom,rally,dingo,rigid,3.599,55.268,58.376,10,notched,supple,pertain,intend,lute,devout,lentil,ensue,desire,sound,2.666,35.919,39.662,12,53,Chrome,na,Macintosh,1280x800,Vocabulary_Test
12/8/17 13:01,12/8/17 13:08,Survey Preview,,100,391,TRUE,12/8/17 13:08,na,,,,,na,na,preview,EN,28,Female,Right,some college (12 - 16 years),60,Caucasian/White,No,,Fair,Not at all,38,,no,Yes,3 years ago,No,Yes,10,Low confidence,61.929,119.236,120.008,8,"wrench, lawyer, rose, tulip, doctor, soda, nail, hammer",2.193,2.193,41.675,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,Chrome,na,Windows NT 10.0,1368x912,Memory_Test
